Sentence,Label,prob_0,prob_1,Prediction
"no movement , no yuks , not much of anything .",0,0.9545607,0.045439307,0
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",0,0.98991704,0.01008295,0
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",0,0.9986944,0.001305573,0
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",0,0.967907,0.03209299,0
this is one of polanski 's best films .,1,0.0005584359,0.99944156,1
take care of my cat offers a refreshingly different slice of asian cinema .,1,0.00091826916,0.99908173,1
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",0,0.02714324,0.97285676,1
the movie exists for its soccer action and its fine acting .,1,0.0022943616,0.99770564,1
arnold 's jump from little screen to big will leave frowns on more than a few faces .,0,0.8833431,0.11665692,0
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",0,0.9980468,0.0019531753,0
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",1,0.0064145923,0.9935854,1
"even as lame horror flicks go , this is lame .",0,0.9924271,0.0075728963,0
"oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",0,0.019926965,0.98007303,1
"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .",1,0.001484096,0.9985159,1
"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign .",0,0.9989526,0.0010473741,0
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",1,0.0010924339,0.99890757,1
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",1,0.02457726,0.97542274,1
any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,0,0.99782497,0.0021750364,0
"as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .",0,0.98561597,0.014384053,0
those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,0,0.357553,0.642447,1
most new movies have a bright sheen .,1,0.0010988712,0.9989011,1
but what saves lives on the freeway does not necessarily make for persuasive viewing .,0,0.9942621,0.0057379156,0
steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,0.010181844,0.98981816,1
nicely serves as an examination of a society in transition .,1,0.0067174435,0.99328256,1
"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0,0.9951451,0.00485491,0
culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .,0,0.99824727,0.001752716,0
the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,0,0.32696408,0.6730359,1
"not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .",1,0.0008304119,0.9991696,1
"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover .",0,0.974788,0.025211982,0
"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .",1,0.0008380413,0.99916196,1
"finally , a genre movie that delivers -- in a couple of genres , no less .",1,0.00066262484,0.9993374,1
"the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother .",0,0.9956876,0.004312396,0
